GC_Code,Type,Cache,Code1,Name,Size,Unknown,Unknown1,Terrain,Difficulty,Unknown3,Unknown4,Hide_Date,County,State,Country,Owner,Last_Find,Lat,Lng
GC1W6Y4,Traditional Cache,,FNNN,Eastgate Cache,Micro,0,1.85,1.5,2,,0,7/21/2009,Bremer,Iowa,United States,birgenfamily,8/25/2019,42.7193,-92.431
GC1Y5Q0,Traditional Cache,,FFFF,A different kind of Dead End,Micro,0,0.06,1.5,1,,0,9/3/2009,Bremer,Iowa,United States,birgenfamily,2/2/2020,42.723633,-92.467967
GC24CT7,Traditional Cache,,FFFF,Leeper Prairie Preserve,Regular,0,11.52,1.5,3,,0,2/27/2010,Butler,Iowa,United States,birgenfamily,12/18/2019,42.735883,-92.6933
GC2R6X7,Traditional Cache,,FFN,W,Small,0,8.7,1.5,2,,0,3/30/2011,Butler,Iowa,United States,birgenfamily,9/8/2016,42.775583,-92.622967
GC47W1C,Traditional Cache,,NNFF,Top of Waverly,Micro,0,0.75,1.5,2,,0,3/17/2013,Bremer,Iowa,United States,birgenfamily,6/22/2019,42.728417,-92.454267
GC482B0,Traditional Cache,,FFFF,2013: The Year of Faith,Large,0,1.83,1,1.5,,0,6/3/2013,Bremer,Iowa,United States,birgenfamily,3/1/2020,42.749567,-92.465067
GC5017N,Traditional Cache,,NFFF,Tracy's Farm,Micro,0,3.35,1,1.5,,0,3/10/2014,Bremer,Iowa,United States,birgenfamily,9/13/2019,42.700483,-92.52555
GC596CQ,Traditional Cache,,FFFF,RAGBRAI 2014: Bremer to Tripoli,Micro,0,9.46,1.5,1.5,,0,7/20/2014,Bremer,Iowa,United States,birgenfamily,12/8/2019,42.773383,-92.293717
GC76A03,Multicache,,FFFF,Birgen Genealogy,Micro,0,27.02,2,1.5,,0,5/27/2017,Chickasaw,Iowa,United States,birgenfamily,6/5/2019,43.112817,-92.4224
GC769ZQ,Traditional Cache,,FFFF,"St. Mary Cemetery, North Washington, Iowa",Small,0,27.01,1.5,2,,0,5/27/2017,Chickasaw,Iowa,United States,birgenfamily,9/3/2019,43.112567,-92.421817
GC769YH,Traditional Cache,,FFFF,RAGBRAI 2017: Ionia to New Hampton,Micro,0,21.86,1.5,1.5,,0,5/27/2017,,Iowa,United States,birgenfamily,7/20/2019,43.037583,-92.419817
GC1Q4KT,Traditional Cache,,FNFF,Wartburg College - Hertel Field,Small,1,1.25,3,1.5,,0,4/16/2009,Bremer,Iowa,United States,birgenfamily,7/6/2019,42.73155,-92.488883
GC1TJ7Y,Unknown Cache,,FNF,Wartburg College - Prime Real Estate,Small,1,0.82,3.5,1.5,,0,6/11/2009,Bremer,Iowa,United States,birgenfamily,10/29/2018,42.7265,-92.4825
GC3YR65,Traditional Cache,,FFFF,Outfly!,Regular,1,1.4,1,2,,0,10/15/2012,Bremer,Iowa,United States,birgenfamily,2/2/2020,42.704967,-92.4547
GC4DVJ6,Traditional Cache,,FFFF,HnSX: Ham and Bean Soup,Micro,1,30.19,3,4,,0,6/8/2013,Buchanan,Iowa,United States,birgenfamily,5/16/2019,42.5373,-91.929583
GC4MH2D,Traditional Cache,,FXN,HnSX: Wehner Dog,Micro,1,42.94,2.5,2.5,,0,9/2/2013,Buchanan,Iowa,United States,birgenfamily,5/7/2018,42.605,-91.637267
GC4JG3J,Traditional Cache,,FFFF,HnSX: Sir Isaac Newton,Regular,1,50.89,1.5,2,,0,8/10/2013,Buchanan,Iowa,United States,birgenfamily,11/30/2017,42.350567,-91.604783
